doy,year,tmax,tmin
211,2041,36.49150436,25.02989066
211,2042,37.04807512,24.64914033
211,2043,35.85556931,23.25485639
211,2044,36.46072896,25.15654498
211,2045,33.92889067,24.00166285
211,2046,34.27507775,24.36897211
211,2047,39.04890823,22.688957
211,2048,32.93043837,22.64255166
211,2049,34.50979907,27.02479362
211,2050,39.02913284,24.61936815
211,2051,30.60827044,23.99883575
211,2052,33.57514734,24.87349177
211,2053,36.1110685,23.56166481
211,2054,37.13666137,23.24394639
211,2055,35.74661905,26.27137566
211,2056,36.87173052,24.16283071
211,2057,35.45376546,27.37098503
211,2058,33.49660738,23.23468442
211,2059,36.20735481,26.0528698
211,2060,34.53528416,23.0963019
211,2061,34.56276027,24.25664966
211,2062,30.71937879,24.94698966
211,2063,34.86843283,23.31798705
211,2064,35.67292906,23.35200842
211,2065,34.72375341,24.03127055
211,2066,36.69041847,25.18225964
211,2067,29.09470333,23.57557166
211,2068,31.92644542,22.30732478
211,2069,39.48054886,26.10023308
212,2040,36.43622816,22.92503334
212,2041,37.23628641,27.78577995
212,2042,36.38334228,25.25863604
212,2043,35.10560281,23.55808604
212,2044,35.49425063,25.09590443
212,2045,34.65093166,24.56395405
212,2046,36.41845014,25.5997448
212,2047,35.29262694,23.73774714
212,2048,35.09627426,22.95475527
212,2049,35.0533576,27.06825066
212,2050,36.58442813,25.9915905
212,2051,31.86623418,24.10473752
212,2052,37.10161323,24.74434275
212,2053,37.32404475,23.92241572
212,2054,34.48949064,23.87606487
212,2055,36.18666399,26.77552605
212,2056,35.35279706,24.20320004
212,2057,34.21290248,26.35487175
212,2058,33.77166714,24.97097722
212,2059,32.95304807,25.51844597
212,2060,35.46176364,24.14302622
212,2061,35.73592212,24.65860547
212,2062,33.44419623,25.76283073
212,2063,36.31760842,23.51914309
212,2064,37.11513574,23.55140101
212,2065,29.33162064,23.94035013
212,2066,36.17721455,27.2896862
212,2067,30.14878864,23.13835124
212,2068,32.10934644,24.00281136
